PG.ProteinAccessions,GeneID,P10_01,P10_02,P10_03,P10_07,P10_08,P10_21,P10_22,P10_23,P10_24,P10_25,P10_26,P10_27,P10_28,P11_39,P11_01,P11_02,P11_03,P11_04,P11_05,P11_06,P11_07,P11_08,P11_09,P11_10,P11_11,P11_12,P11_13,P11_14,P11_15,P11_16,P11_17,P11_18,P11_19,P11_20,P11_21,P11_22,P11_23,P11_24,P11_25,P11_26,P11_27,P11_28,P11_29,P11_30,P11_31,P11_32
P46776,RPL27A,197.4365997,106.6876144,81.89806366,116.0003433,120.5045547,109.8307495,217.6479645,125.6532745,139.2530823,42.48207092,166.2951202,102.1129684,202.6999817,50.63077164,49.54377365,34.03223038,109.4198074,112.4644699,75.59638977,86.39356995,112.6374588,97.18152618,345.9613342,188.0242462,41.10194397,69.24662781,187.8356781,153.5177307,151.2225494,86.43948364,104.0936661,48.80136871,62.59167099,103.3538589,172.4949036,86.77776337,235.9698792,146.3097229,116.6648712,17.89251137,196.7412415,46.54583359,51.53434372,210.7572784,435.8327942,159.4059906
P46777,RPL5,75.8625412,46.83784485,91.43328857,64.31067657,52.47527695,101.8470078,228.5835114,111.7568741,170.8225861,22.69853783,82.35729218,88.9495163,103.4950104,160.439209,32.75783157,15.44102001,22.15218353,51.33416748,41.92215347,23.31463623,68.73985291,11.49760628,92.04144287,144.7705688,15.01079273,26.50261879,74.29774475,35.44153976,34.02608871,22.0991993,20.01779556,11.85317135,26.0642395,70.13182831,53.81648254,34.53823853,41.10597229,40.02556992,28.85137939,10.02737427,58.61209869,5.882473469,38.85158539,79.85568237,136.5364532,88.56336212
P46778,RPL21,51.2228508,23.86198997,18.01879692,8.759565353,34.63595581,82.53118134,59.55066681,20.19079399,45.25788498,7.593851089,87.16835022,86.33329773,66.24987793,NaN,40.65269852,22.56383896,32.50027847,37.24391937,20.68903923,30.21684074,116.2666626,14.58097458,150.6586151,163.1838531,13.94640636,29.95259666,70.20155334,38.25185394,44.93910217,15.51164341,38.32692337,10.90246201,17.22222137,26.85567856,20.53989029,NaN,14.88047314,26.14564896,11.89989662,NaN,24.86758041,15.66527271,9.089626312,41.23659515,166.4814606,35.14047623
P46779,RPL28,46.58210373,18.5415535,42.42876053,6.825746536,28.87634468,107.1947021,79.75247955,20.35828018,50.92964554,NaN,65.49479675,122.9118042,156.4982758,NaN,49.23589706,31.47043419,53.96324921,63.32116318,154.0737,24.14600182,318.6637878,24.9763298,311.4108887,154.3398132,42.87584305,35.19664383,153.9223785,36.84030151,48.98407745,19.33415985,29.05914116,59.81499863,52.7301178,98.62242126,48.52344513,18.02972603,103.6822052,34.62042999,26.13101959,NaN,72.81335449,7.607462406,18.47972488,74.15914917,174.4127045,36.00247955
P46781,RPS9,154.1812439,134.4217529,120.3218231,101.3201294,103.0610886,245.8435211,245.2107544,101.9024658,122.6781082,61.5593071,247.0364532,258.0970764,263.0316772,37.79358673,103.907196,67.40782928,81.51308441,79.05990601,97.44745636,49.13912201,245.6346436,61.34392166,330.001709,418.1568604,78.72694397,114.5490799,352.8932495,102.9952087,133.6645203,38.99126816,25.03835678,NaN,24.97385406,54.56512833,143.6490479,44.44091797,129.22229,123.452095,72.57025146,9.676839828,274.3917236,36.56837463,63.87135315,353.5034485,843.6372681,263.4101257
P46782,RPS5,117.2673416,56.9102478,39.34091568,97.60593414,67.19541931,109.8415909,217.2788391,122.5823288,201.2730103,58.61535263,131.368515,171.1537323,190.1848755,29.95241547,54.7315979,40.00893402,61.54712296,50.21930695,104.7406845,31.28249741,140.6735687,35.79872513,247.9280243,140.9676819,64.43830872,46.28736496,92.20471954,126.3795242,65.95438385,38.17947388,38.70252991,27.894804,28.93331146,59.13363647,112.8445892,45.52782059,53.54231644,76.24775696,44.37449265,39.40161133,128.377121,29.46510887,56.1628685,149.9801483,223.2839661,107.1041489
P46783,RPS10,43.86655045,21.98779297,35.93375778,12.33506489,10.89767265,30.81514549,156.4977722,19.97399902,52.98295593,NaN,26.81340408,67.90237427,62.92786789,NaN,14.22720146,14.11205673,10.07557964,15.81122684,32.90206146,8.347144127,56.0867424,7.914387703,92.46685028,63.37854385,20.59438705,13.4324789,26.74111176,11.96866703,13.10077381,15.38374996,17.30986595,NaN,NaN,19.13262177,37.47931671,27.52164459,38.54621506,23.71865273,12.86822701,NaN,25.08361435,4.684889317,29.10270119,17.10526848,27.56899643,27.26110649
P46821,MAP1B,77.79443359,93.01037598,46.19509125,39.64404678,23.48902702,NaN,NaN,30.15990067,43.39274979,NaN,32.59272003,124.7427292,NaN,NaN,NaN,75.83563232,NaN,26.32328415,61.02360535,48.98418427,NaN,NaN,23.5347023,38.39498901,44.70259857,36.72219849,52.90318298,52.10834122,67.93495941,58.68066406,13.33025742,NaN,NaN,39.44438553,39.39860153,NaN,49.83140564,33.91856003,27.64836121,40.44789124,NaN,321.7012024,75.09738159,21.41123772,40.34829712,40.87046051
P46934,NEDD4,112.30439,30.59979439,40.03305054,33.2713356,17.28680992,20.292593,29.95470047,66.13780212,51.77221298,11.80802917,19.72508812,17.24910355,17.96082497,NaN,17.02975273,7.740427017,37.84915924,6.243974686,27.79643631,11.13960361,24.64033699,14.88780212,38.8164444,28.99544334,9.822468758,11.16675663,15.2634573,8.066566467,21.82961845,18.38672066,18.796175,5.828672886,7.031570435,10.94018459,19.50625038,NaN,NaN,44.75125122,12.09493828,NaN,NaN,7.524744987,NaN,44.91080856,54.06862259,22.86963654
P46939,UTRN,158.9810638,106.3186035,434.6078491,117.5658875,104.7243652,86.91120911,64.63684082,48.95141983,125.6836166,125.5573044,198.6838074,77.741745,83.9347229,NaN,134.4223175,43.18716431,69.27940369,34.70341492,119.8810196,62.80981827,55.30028152,22.15600777,69.54374695,38.11671448,30.59672356,31.03920364,63.24478912,47.49394608,67.30066681,23.48668671,73.20145416,133.9496002,13.33176136,65.36530304,28.58677101,38.53759766,31.14475822,62.06878281,31.86693192,29.29136848,67.59428406,31.57176018,16.62721062,31.73684502,86.5688324,23.67335129
